Glottocode,Name,Family,n_domains_full,n_domains_partial,domains_full,domains_partial,status_Person,status_Aspect,status_Tense,status_Mood,status_Realis,status_Agentivity,status_Topicality,status_Animacy,status_Clause type
bahi1252,Bahing,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
bala1311,Balangao,Austronesian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
gahr1239,Bunan,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
dumi1241,Dumi,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
bant1281,Bantawa,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
bara1357,Baram Thangmi,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
basq1248,Basque,Language isolate,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
dier1241,Dieri,Pama-Nyungan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
guan1266,Wobzi Khroskyabs,Trans-Himalayan,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
fran1266,Francisco León Zoque,Mixe-Zoque,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
east2773,Dolakha Newar,Trans-Himalayan,8,8,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,full,full,full,full,full,full,0,full,full
aben1249,Ayta Abenlen,Austronesian (Sambalic),8,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,partial,full,full
gure1255,Gureng Gureng,Pama-Nyungan,8,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,partial,full
hida1246,Hidatsa,Siouan,8,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,partial,full,full
kala1399,Kalaallisut,Eskimo-Aleut,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
katu1276,Katu,Austroasiatic,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
limb1266,Limbu,Trans-Himalayan,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
madn1237,Matngele,Daly,8,8,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,full,full,full,full,full,full,0,full,full
maga1263,Mag-anchi Agta,Austronesian,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
mang1405,Manggarai,Austronesian,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
marg1253,Margany,Pama-Nyungan,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
mati1255,Matis,Panoan,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
mayk1239,Mayi-Kulan,Pama-Nyungan,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
melp1238,Melpa,Trans-New Guinea,8,8,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,full,full,full,full,full,full,0,full,full
namb1293,Nmbo,Trans-New Guinea,8,8,Person; Aspect; Tense; Mood; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,0,full,full,full,full
east2545,Eastern Pomo,Pomoan,8,8,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,full,full,full,full,full,full,0,full,full
yami1256,Yaminawa,Panoan,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
athp1241,Athpare,Trans-Himalayan,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
caca1251,Kakataibo,Panoan,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
arab1267,Arabana,Pama-Nyungan,8,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,partial,full,full
chug1252,Duhumbi,Trans-Himalayan,8,8,Person; Aspect; Tense; Mood; Realis; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Topicality; Animacy; Clause type,full,full,full,full,full,0,full,full,full
choc1275,Chocangacakha,Trans-Himalayan,8,8,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,full,full,full,full,full,full,0,full,full
chep1245,Chepang,Trans-Himalayan,8,8,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,full,full,full,full,full,full,0,full,full
alba1269,Albay Bikol,Austronesian,8,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,partial,full,full
cuti1242,Katukina-Kanamari,Katukina,8,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,partial,full,full
aleu1260,Aleut,Eskimo-Aleut,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
dara1250,Darai,Indo-European,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
ahin1234,Kalanguya,Austronesian,8,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,partial,full,full
alya1239,Alyawarra,Arandic,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
chan1313,Chang Naga,Trans-Himalayan,8,8,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,full,full,full,full,full,full,0,full,full
chac1251,Chacobo,Panoan,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
coeu1236,Coeur d'Alene,Salishan,8,8,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,full,full,full,full,full,full,0,full,full
caml1239,Camling,Trans-Himalayan,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
ango1257,U'wa,Chibchan,8,9,Person; Aspect; Tense; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,partial,full,full,full,full,full
dzon1239,Dzongkha,Trans-Himalayan,8,8,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,full,full,full,full,full,full,0,full,full
agus1235,Agusan Manobo,Austronesian,8,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,partial,full,full
drun1238,Drung,Trans-Himalayan,8,8,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,full,full,full,full,full,full,0,full,full
biri1256,Biri,Pama-Nyungan,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
anut1237,Anutan,Austronesian,8,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,partial
djin1251,Jingulu,Mirndi,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
east2343,Yohlmo,Trans-Himalayan,8,8,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,full,full,full,full,full,full,0,full,full
auye1238,Auye,Trans-New Guinea,8,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,full
mang1381,Mangarayi,Gunwinyguan,7,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,partial,full
coch1272,Cochimí,Cochimí-Yuman,7,7,Person; Aspect; Tense; Mood; Realis; Agentivity; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Clause type,full,full,full,full,full,full,0,0,full
kaki1249,Kaki Ae,Trans-New Guinea,7,7,Person; Aspect; Tense; Mood; Realis; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Animacy; Clause type,full,full,full,full,full,0,0,full,full
mari1416,Maring,Trans-New Guinea,7,9,Person; Aspect; Tense; Mood; Realis; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,partial,partial,full,full
awab1243,Awabakal,Pama-Nyungan,7,9,Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,partial,full,full
bala1316,Nêlêmwa,Austronesian,7,9,Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,partial,full,full
kara1487,Karao,Austronesian,7,9,Person; Aspect; Tense; Mood; Realis; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,partial,partial,full,full
bugi1244,Bugis,Austronesian,7,9,Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,partial,full,full
cent2127,Central Alaskan Yupik,Eskimo-Aleut,7,9,Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,full,full,full,partial
kaba1278,Kabardian,Northwest Caucasian,7,8,Aspect; Tense; Mood; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,0,full,full,full,full
east2447,East Futunan,Austronesian,7,7,Person; Aspect; Tense; Mood; Realis; Agentivity; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Clause type,full,full,full,full,full,full,0,0,full
colu1241,Nxaamxcin,Salishan,7,8,Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,partial,full,full,full,full,full,0,full,full
dyan1250,Dhanggati,Pama-Nyungan,7,8,Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,partial,full,full,full,full,full,0,full,full
nort2745,Tundra Yukaghir,Yukaghir,7,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,partial,full,partial
