Glottocode,Name,Family,n_domains_full,n_domains_partial,domains_full,domains_partial,status_Person,status_Aspect,status_Tense,status_Mood,status_Realis,status_Agentivity,status_Topicality,status_Animacy,status_Clause type
mana1288,Manange,Trans-Himalayan,6,9,Person; Aspect; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,partial,partial,partial,full,full,full,full
kara1476,Karajarri,Pama-Nyungan,6,6,Person; Tense; Mood; Agentivity; Animacy; Clause type,Person; Tense; Mood; Agentivity; Animacy; Clause type,full,0,full,full,0,full,0,full,full
isco1239,Iskonawa,Panoan,6,9,Aspect; Tense; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,partial,partial,full,full,full,full
isin1239,Isinai,Austronesian,6,9,Person; Aspect; Tense; Mood; Realis; Animacy,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,partial,partial,full,partial
japh1234,Japhug,Trans-Himalayan,6,7,Aspect; Tense; Mood; Realis; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Animacy; Clause type,partial,full,full,full,full,0,0,full,full
kaga1256,Kagayanen,Austronesian,6,9,Person; Aspect; Tense; Mood; Realis; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,partial,partial,partial,full
kank1243,Kankanaey,Austronesian,6,9,Aspect; Tense; Mood; Realis; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,full,partial,partial,full,full
kari1254,Dzubukua,Karirí,6,9,Person; Aspect; Mood; Realis; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,partial,full,full,partial,partial,full,full
bund1253,Bundeli,Indo-European,6,9,Person; Mood; Realis; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,partial,partial,full,full,partial,full,full,full
nucl1302,Georgian,Kartvelian,5,9,Mood; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,partial,partial,full,partial,full,full,full,full
huas1242,Huastec,Mayan,5,9,Person; Aspect; Tense; Mood; Realis,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,partial,partial,partial,partial
emai1242,Emai,Niger-Congo,5,8,Mood; Realis; Agentivity; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,partial,partial,partial,full,full,full,0,full,full
iwam1256,Iwam,Sepik,5,9,Aspect; Tense; Mood; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,full,full,partial,partial,partial,full,full
bina1277,Binahari,Trans-New Guinea,5,9,Person; Aspect; Tense; Realis; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,partial,full,partial,partial,partial,full
aghu1254,Aghu,Trans-New Guinea,5,8,Aspect; Tense; Mood; Realis; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Animacy; Clause type,partial,full,full,full,full,partial,0,partial,full
natc1249,Natchez,Natchez,5,7,Person; Aspect; Tense; Topicality; Clause type,Person; Aspect; Tense; Agentivity; Topicality; Animacy; Clause type,full,full,full,0,0,partial,full,partial,full
dhar1247,Thargari,Pama-Nyungan,5,6,Tense; Mood; Realis; Agentivity; Clause type,Person; Tense; Mood; Realis; Agentivity; Clause type,partial,0,full,full,full,full,0,0,full
doma1260,Domaaki,Indo-European,4,5,Tense; Mood; Realis; Clause type,Person; Tense; Mood; Realis; Clause type,partial,0,full,full,full,0,0,0,full
djap1238,Djapu,Pama-Nyungan,4,5,Tense; Mood; Realis; Clause type,Person; Tense; Mood; Realis; Clause type,partial,0,full,full,full,0,0,0,full
naru1238,Narungga,Pama-Nyungan,4,5,Tense; Agentivity; Animacy; Clause type,Person; Tense; Agentivity; Animacy; Clause type,partial,0,full,0,0,full,0,full,full
apin1244,Apinajé,Macro-Jê,4,5,Person; Topicality; Animacy; Clause type,Person; Agentivity; Topicality; Animacy; Clause type,full,0,0,0,0,partial,full,full,full
fasu1242,Fasu,Trans-New Guinea,3,3,Person; Animacy; Clause type,Person; Animacy; Clause type,full,0,0,0,0,0,0,full,full
patt1248,Pattani,Indo-European,3,3,Person; Mood; Clause type,Person; Mood; Clause type,full,0,0,full,0,0,0,0,full
nina1238,Ninam,Yanomaman,2,7,Aspect; Tense,Person; Aspect; Tense; Mood; Realis; Animacy; Clause type,partial,full,full,partial,partial,0,0,partial,partial
hunz1247,Hunzib,Nakh-Daghestanian,1,9,Aspect,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,partial,full,partial,partial,partial,partial,partial,partial,partial
ilon1239,Ilongot,Austronesian,1,1,Person,Person,full,0,0,0,0,0,0,0,0
east2694,Eastern Subanun,Austronesian,1,2,Clause type,Person; Clause type,partial,0,0,0,0,0,0,0,full
bamb1270,Pitu Ulunna Salu,Austronesian,1,2,Clause type,Person; Clause type,partial,0,0,0,0,0,0,0,full
iaai1238,Iaai,Austronesian,0,0,,,0,0,0,0,0,0,0,0,0
kara1500,Karajá,Macro-Jê,0,0,,,0,0,0,0,0,0,0,0,0
east2379,Mparntwe Arrernte,Arandic,0,1,,Person,partial,0,0,0,0,0,0,0,0
kari1311,Karitiana,Tupian,0,7,,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality,partial,partial,partial,partial,partial,partial,partial,0,0
